Image Name," ""Image Plane"""," ""Image Date and Time"""," ""Elapsed Time"""," ""Stage Label"""," ""Wavelength"""," ""Object #"""," ""Frame #"""," ""X"""," ""Y"""," ""Distance"""," ""Time Interval"""," ""Velocity"""," ""Absolute Angle"""," ""Distance To Origin"""," ""Delta X"""," ""Delta Y"""," ""Avgerage Intensity"""," ""Intensity S.D."""," ""Minimum Intensity"""," ""Maximum Intensity"""," ""Total Intensity"""
Test_set,120," ""16:38:16.657"""," ""00:00:00.310"""," ""No Label""",0,1,120,142.118,317.528,0.941443,0.003,313.814,97.8925,347.882, , ,1740,1313.76,263,4525,1.38E+06
Test_set,121," ""16:38:16.660"""," ""00:00:00.313"""," ""No Label""",0,1,121,143.024,317.204,0.962227,0.003,320.742,109.678,347.958, , ,1738.45,1305.28,284,4603,1.38E+06
Test_set,122," ""16:38:16.662"""," ""00:00:00.315"""," ""No Label""",0,1,122,144.164,316.674,1.25703,0.002,628.514,114.957,347.945, , ,1779.24,1318.49,270,4780,1.41E+06
Test_set,123," ""16:38:16.665"""," ""00:00:00.318"""," ""No Label""",0,1,123,145.048,316.265,0.974257,0.003,324.752,114.816,347.94, , ,1735.49,1283.04,292,4416,1.37E+06
Test_set,124," ""16:38:16.668"""," ""00:00:00.321"""," ""No Label""",0,1,124,145.943,315.932,0.955231,0.003,318.41,110.405,348.012, , ,1701.97,1271.08,248,4603,1.35E+06
Test_set,125," ""16:38:16.670"""," ""00:00:00.323"""," ""No Label""",0,1,125,146.802,315.786,0.870871,0.002,435.435,99.6489,348.241, , ,1667.06,1280.04,268,4337,1.32E+06
Test_set,126," ""16:38:16.673"""," ""00:00:00.326"""," ""No Label""",0,1,126,147.602,315.723,0.802702,0.003,267.567,94.5379,348.521, , ,1585.63,1250.12,171,4461,1.26E+06
Test_set,127," ""16:38:16.676"""," ""00:00:00.329"""," ""No Label""",0,1,127,148.385,315.664,0.784857,0.003,261.619,94.2793,348.801, , ,1666.76,1303.94,190,4593,1.32E+06
Test_set,128," ""16:38:16.679"""," ""00:00:00.332"""," ""No Label""",0,1,128,148.56,315.55,0.20915,0.003,69.7168,123.073,348.772, , ,1619.98,1293.21,206,4414,1.28E+06
Test_set,129," ""16:38:16.681"""," ""00:00:00.334"""," ""No Label""",0,1,129,149.312,315.515,0.752371,0.002,376.185,92.6411,349.061, , ,1669.8,1313.45,258,4588,1.32E+06
Test_set,130," ""16:38:16.684"""," ""00:00:00.337"""," ""No Label""",0,1,130,149.54,315.458,0.235363,0.003,78.4545,104.025,349.108, , ,1629.91,1312.41,238,4690,1.29E+06
